,Codigo,Memoria Ram,Fecha,Precio,Almacenamiento,Nombre,Modelo,Procesador
716,MPM00030098836,8GB,2021-09-30,499990,512 GB,"NOTEBOOK HP ELITE X2 1012 G2, 12', CORE I5, 8GB RAM, 512GB - REACONDICIONADO",ELITE X2 1012 G2 CI5 2600,Intel Core i5
717,2368332,8GB,2021-09-30,597990,1 TB,"NOTEBOOK HP 348 G7, INTEL® CORE™ I3-10110U, RAM 8GB, 240SSD + 1TB HDD, LED 14', W10 HOME + MOCHILA",348,Intel Core i3
718,MPM00029794736,Memoria Ram no especificada,2021-09-30,416990,Almacenamiento no especificado,NOTEBOOK ULTRABOOK HP 9470M 14” INTEL CORE I5 4GB 256GB SSD WEBCAM WINDOWS 10 PRO REACONDICIONADO GRADO A,9470M,Procesador no especificado
719,MPM00030075682,8GB,2021-09-30,429990,Almacenamiento no especificado,"NOTEBOOK HP EB 840 G3, 14', CORE I5, 8GB RAM, 256GB SSD - REACONDICIONADO",ELITEBOOK 840 G3,Procesador no especificado
720,MPM00030314742,Memoria Ram no especificada,2021-09-30,689990,Almacenamiento no especificado,HP LAPTOP 348 G7 2E4U1LT / I3-10110U / 4GB RAM / 1TB HDD / W10H / 14',2E4U1LT,Procesador no especificado
721,MPM00030314822,Memoria Ram no especificada,2021-09-30,399990,Almacenamiento no especificado,NOTEBOOK LENOVO V145-14AST AMD A4-9125 4GB RAM 500GB HDD 14' W10H,V145-14AST,Procesador no especificado
722,MPM00030475192,8GB,2021-09-30,1345990,256 GB SSD,HP ELITEBOOK X360 1030 G4 I5 W10P DOCKING G5 LAPIZ,X360 1040 G4,Intel Core i5
723,MPM00030475618,8GB,2021-09-30,1452990,512 GB SSD,"HP ELITEBOOK X360 1040 G6 I5 W10PRO, DOCKING LAPIZ",X360 1040 G6,Intel Core i5
724,MPM00030475046,16GB,2021-09-30,1899990,256 GB SSD,HP ELITEBOOK X360 100 G7 I5 WIN10 PRO,X360 100 G7,Intel Core i5
725,MPM00030475142,8GB,2021-09-30,1345990,256 GB SSD,HP ELITEBOOK X360 1030 G4 I5 8GB 256SSD WIN 10 PRO,X360 1030 G4,Intel Core i5
726,2428301,2GB,2021-09-30,219990,32 GB,NOTEBOOK HP CHROMEBOOK 14-Q001LA 32GB W10 NEGRO REACONDICIONADO,CHROMEBOOK 14-q001la,Intel Celeron
727,2428299,8GB,2021-09-30,859990,1 TB,NOTEBOOK DELL LATITUDE 5400 8GB RAM 1TB INTEL CORE I5 WINDONWS 10 PRO NEGRO,LATITUDE 5400,Intel Core i5
728,MPM00031093662,Memoria Ram no especificada,2021-09-30,450990,Almacenamiento no especificado,NOTEBOOK ULTRABOOK LENOVO THINKPAD X240 12.5' (I7 8GB 256GB) WIN10 REACONDICIONADO GRADO A - NO WEBCAM,Modelo no especificado,Procesador no especificado
729,MPM00031681445,8MB,2021-09-30,640990,1 TB,DELL VOSTRO 3400 14 I3 8GB 1TB WIN10 PRO,Vostro 3400,Intel Core i3
730,MPM00031682742,8MB,2021-09-30,859990,256 GB,DELL VOSTRO 5402 I5-1135G7 8GB 256GB SSD WIN10P,Vostro 3400,Intel Core i5
731,2530968,8MB,2021-09-30,704990,256 GB,NOTEBOOK HP 340S G7 I5 8GB 256GB SSD 14 W10PRO,340S,Intel Core i5
732,2521828,8GB,2021-09-30,699990,512 GB SSD,NOTEBOOK DELL INSPIRON 3505 R7 8GB RAM 512GB W10,INSPIRON 3505,AMD Ryzen™ 7
733,MPM00032429114,8GB,2021-09-30,529990,256 GB SSD,NOTEBOOK ASUS M415DA R5 8GB RAM 256GB W10,M415DA,AMD Ryzen™ 5
734,2521831,8GB,2021-09-30,749990,512 GB SSD,NOTEBOOK LENOVO IDEAPAD S340 CI7 8GB RAM 512GB W10,IDEAPAD S340,Intel Core i7
735,MPM00032429264,4GB,2021-09-30,279990,512 GB SSD,NOTEBOOK LENOVO IDEAPAD S145 AMD4 4GB RAM 512GB W10,IDEAPAD S145,AMD A4
736,2528059,Memoria Ram no especificada,2021-09-30,309990,Almacenamiento no especificado,NOTEBOOK HP 240 G7 INTEL CELERON N4000 4GB RAM 512GB FREEDOS,240 G7,Procesador no especificado
737,2528117,8GB,2021-09-30,749990,512 GB SSD,NOTEBOOK LENOVO IDEAPAD S340 CI7 8GB RAM 512GB W10,IDEAPAD S340,Intel Core i7
738,2528970,8GB,2021-09-30,969990,256 GB SSD,NOTEBOOK HP ELITEBOOK X360 1030 G4 I7-8665U 13 8GB RAM 256 GB SSD,x360 1030 G4,Intel Core i7
739,2529750,8GB,2021-09-30,449990,256 GB SSD,NOTEBOOK DELL INSPIRON 3505 R5 8GB RAM 256GB W10 GRIS,INSPIRON 3505,AMD Ryzen™ 5
740,2529749,8GB,2021-09-30,449990,256 GB SSD,NOTEBOOK DELL INSPIRON 3505 R5 8GB RAM 256GB W10 NEGRO,INSPIRON 3505,AMD Ryzen™ 5
741,2530971,8MB,2021-09-30,612990,256 GB,DELL VOSTRO 3400 14 I5-1135G7 8GB RAM 256GB SSD LINUX,Vostro 3400,Intel Core i5
742,2521837,8GB,2021-09-30,619990,512 GB SSD,NOTEBOOK ASUS X415EA CI5 8GB RAM 512GB W10,X415EA,Intel Core i5
743,2528057,Memoria Ram no especificada,2021-09-30,699990,Almacenamiento no especificado,NOTEBOOK DELL INSPIRON 3505 R7 8GB RAM 512GB W10,INSPIRON 3505,Procesador no especificado
744,2523381,Memoria Ram no especificada,2021-09-30,1142168,Almacenamiento no especificado,"HP PROBOOK 440 G7, I7-10510U, 1 TB HDD, 8 GB RAM, PANTALLA HD 14', PLATA",440 G7,Procesador no especificado
745,2540707,Memoria Ram no especificada,2021-09-30,499990,Almacenamiento no especificado,DELL INSPIRON 15-3502 15.6' HD LAPTOP 4GB/128SSD/NEGRO,Dell Inspiron 15-3502,Procesador no especificado
746,MPM00033058038,4GB,2021-09-30,329990,500 GB,NOTEBOOK HP 240 G8 CELERON / N4020 / 4GB / 500GB / W10H,240 G8,Intel Celeron
747,MPM00033058489,8GB,2021-09-30,1029990,Almacenamiento no especificado,"PACK PAVILION GAMING EC-1024LA / AMD RADEON 7 / 8 GB RAM / 512GB SSD / FHD 15,6'+ AUDIFONOS GAMING",15-ec1024la,Procesador no especificado
748,MPM00033058797,8GB,2021-09-30,929990,Almacenamiento no especificado,"PACK PAVILION GAMING 15-DK1033LA / INTEL CORE I5 / 8 GB RAM / 256GB SSD / 15,6 + AUDIFONOS GAMING",15-dk1033la,Procesador no especificado
749,MPM00033058870,16GB,2021-09-30,1329990,Almacenamiento no especificado,"PACK OMEN NOTEBOOK 15-EN0002LA / AMD RYZEN 7 / 16GB RAM / 512GB SSD / FHD 15,6' + MOUSE OMEN GAMER",15-EN0002LA,Procesador no especificado
750,2551690,Memoria Ram no especificada,2021-09-30,499990,Almacenamiento no especificado,HP LAPTOP 14-DQ2033CL I31115G4 256GB 8GB RAM REACONDICIONADO,HP Laptop 14-dq2033cl,Procesador no especificado
751,2551689,Memoria Ram no especificada,2021-09-30,649990,Almacenamiento no especificado,HP 15-DY1076NR INTEL I5-1035G1 256GBREACONDICIONADO,HP 15-dy1076nr Intel i5-1035G1 256 SSD 8GB 15.6'' Reacondicionado,Procesador no especificado
752,2550952,Memoria Ram no especificada,2021-09-30,814900,Almacenamiento no especificado,"NOTEBOOK ACER SWIFT 3, AMD RYZEN 7, 8GB RAM, 512GB SSD, 14' (1920X1080), AMD RADEON 7, WIN10",Swift 3,Procesador no especificado
753,MPM00033331908,16GB,2021-09-30,649990,256 GB,"NOTEBOOK TOSHIBA PORTEGE X20W-D 12,5”, CORE I5, 16GB RAM, 256GB SSD - REACONDICIONADO",PORTEGE X20W-D,Intel Core i5
